"filename", "language", "JSON", "Markdown", "JavaScript", "HTML", "CSS", "XML", "Vue", "comment", "blank", "total"
"d:\本科\Frontend\demos\vue_learn\vue-component-data\README.md", "Markdown", 0, 18, 0, 0, 0, 0, 0, 0, 12, 30
"d:\本科\Frontend\demos\vue_learn\vue-component-data\index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"d:\本科\Frontend\demos\vue_learn\vue-component-data\package-lock.json", "JSON", 722, 0, 0, 0, 0, 0, 0, 0, 1, 723
"d:\本科\Frontend\demos\vue_learn\vue-component-data\package.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"d:\本科\Frontend\demos\vue_learn\vue-component-data\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 17, 0, 1, 18
"d:\本科\Frontend\demos\vue_learn\vue-component-data\src\assets\base.css", "CSS", 0, 0, 0, 0, 71, 0, 0, 2, 14, 87
"d:\本科\Frontend\demos\vue_learn\vue-component-data\src\assets\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\本科\Frontend\demos\vue_learn\vue-component-data\src\assets\main.css", "CSS", 0, 0, 0, 0, 29, 0, 0, 0, 7, 36
"d:\本科\Frontend\demos\vue_learn\vue-component-data\src\components\Child.vue", "Vue", 0, 0, 0, 0, 0, 0, 15, 0, 0, 15
"d:\本科\Frontend\demos\vue_learn\vue-component-data\src\components\Parent.vue", "Vue", 0, 0, 0, 0, 0, 0, 17, 0, 0, 17
"d:\本科\Frontend\demos\vue_learn\vue-component-data\src\components\icons\IconCommunity.vue", "Vue", 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"d:\本科\Frontend\demos\vue_learn\vue-component-data\src\components\icons\IconDocumentation.vue", "Vue", 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"d:\本科\Frontend\demos\vue_learn\vue-component-data\src\components\icons\IconEcosystem.vue", "Vue", 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"d:\本科\Frontend\demos\vue_learn\vue-component-data\src\components\icons\IconSupport.vue", "Vue", 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"d:\本科\Frontend\demos\vue_learn\vue-component-data\src\components\icons\IconTooling.vue", "Vue", 0, 0, 0, 0, 0, 0, 18, 1, 1, 20
"d:\本科\Frontend\demos\vue_learn\vue-component-data\src\main.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 3, 6
"d:\本科\Frontend\demos\vue_learn\vue-component-data\vite.config.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 1, 3, 17
"Total", "-", 739, 18, 16, 13, 100, 1, 95, 4, 49, 1035
